slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
barneha02,Harrison Barnes,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],26,SACRAMENTO KINGS,28,28,949,141,310,53,130,64,80,21,133,53,17,2,30,43,399
bartowi01,Will Barton,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],28,DENVER NUGGETS,43,38,1189,185,460,67,196,57,74,32,167,124,18,22,65,82,494
bateske01,Keita Bates-Diop,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],23,MINNESOTA TIMBERWOLVES,30,3,503,60,142,13,52,18,28,16,67,17,18,14,14,29,151
batumni01,Nicolas Batum,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],30,CHARLOTTE HORNETS,75,72,2354,253,562,116,298,77,89,71,319,247,71,43,117,140,699
bayleje01,Jerryd Bayless,[<Position.POINT_GUARD: 'POINT GUARD'>],30,MINNESOTA TIMBERWOLVES,34,6,657,82,230,29,98,16,28,11,51,119,18,2,32,56,209
baynear01,Aron Baynes,[<Position.CENTER: 'CENTER'>],32,BOSTON CELTICS,51,18,821,105,223,21,61,53,62,88,152,57,12,34,40,125,284
bazemke01,Kent Bazemore,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29,ATLANTA HAWKS,67,35,1643,278,691,96,300,127,175,37,224,152,89,42,121,170,779
bealbr01,Bradley Beal,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],25,WASHINGTON WIZARDS,82,82,3028,764,1609,209,596,362,448,89,322,448,121,58,224,226,2099
beaslma01,Malik Beasley,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],22,DENVER NUGGETS,81,18,1879,349,737,163,405,56,66,35,165,97,55,10,55,116,917
beaslmi01,Michael Beasley,[<Position.POWER_FORWARD: 'POWER FORWARD'>],30,LOS ANGELES LAKERS,26,2,277,75,153,3,17,28,39,13,47,25,9,10,27,42,181
belinma01,Marco Belinelli,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],32,SAN ANTONIO SPURS,79,1,1815,285,690,147,395,112,124,16,182,132,35,8,72,121,829
belljo01,Jordan Bell,[<Position.CENTER: 'CENTER'>],24,GOLDEN STATE WARRIORS,68,3,788,99,192,0,2,25,41,55,129,76,20,51,42,80,223
bembrde01,DeAndre' Bembry,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],24,ATLANTA HAWKS,82,15,1931,275,616,50,173,87,136,54,304,202,105,41,142,190,687
bendedr01,Dragan Bender,[<Position.POWER_FORWARD: 'POWER FORWARD'>],21,PHOENIX SUNS,46,27,826,88,197,22,101,32,54,34,149,56,18,22,37,90,230
bertada02,Dairis Bertāns,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],29,NEW ORLEANS PELICANS,12,0,167,12,47,10,34,0,0,2,7,10,1,0,2,7,34
bertada01,Dāvis Bertāns,[<Position.POWER_FORWARD: 'POWER FORWARD'>],26,SAN ANTONIO SPURS,76,12,1632,204,453,145,338,53,60,23,241,100,35,33,43,133,606
beverpa01,Patrick Beverley,[<Position.POINT_GUARD: 'POINT GUARD'>],30,LOS ANGELES CLIPPERS,78,49,2137,194,477,112,282,96,123,76,312,300,67,43,85,265,596
birchkh01,Khem Birch,[<Position.CENTER: 'CENTER'>],26,ORLANDO MAGIC,50,1,643,91,151,0,1,58,83,79,111,38,18,29,20,72,240
biyombi01,Bismack Biyombo,[<Position.CENTER: 'CENTER'>],26,CHARLOTTE HORNETS,54,32,783,89,156,0,0,58,91,81,166,33,11,41,34,103,236
